ID;name;rows;cols;blacks;isBuiltin
11111111-1111-1111-1111-111111111101;Times Classic;15;15;"[[0,4],[0,9],[1,4],[1,9],[2,0],[2,6],[2,12],[3,3],[3,7],[3,11],[4,0],[4,5],[4,8],[5,2],[5,6],[5,10],[6,1],[6,5],[6,9],[6,13],[7,4],[7,7],[7,10],[8,1],[8,5],[8,9],[8,13],[9,4],[9,8],[9,12],[10,6],[10,9],[10,14],[11,3],[11,7],[11,11],[12,2],[12,8],[12,14],[13,5],[13,10],[14,5],[14,10]]";true
11111111-1111-1111-1111-111111111102;Guardian Open;15;15;"[[0,3],[0,11],[1,6],[1,8],[2,1],[2,4],[2,10],[2,13],[3,0],[3,7],[4,2],[4,5],[4,9],[4,12],[5,1],[5,6],[5,10],[6,3],[6,7],[6,11],[7,0],[7,5],[7,9],[7,14],[8,3],[8,7],[8,11],[9,4],[9,8],[9,13],[10,2],[10,5],[10,9],[10,12],[11,7],[11,14],[12,1],[12,4],[12,10],[12,13],[13,6],[13,8],[14,3],[14,11]]";true
11111111-1111-1111-1111-111111111103;Telegraph Dense;15;15;"[[0,2],[0,5],[0,9],[0,12],[1,2],[1,5],[1,9],[1,12],[2,0],[2,7],[2,14],[3,3],[3,6],[3,8],[3,11],[4,1],[4,4],[4,10],[4,13],[5,2],[5,7],[5,12],[6,0],[6,5],[6,9],[6,14],[7,3],[7,6],[7,8],[7,11],[8,0],[8,5],[8,9],[8,14],[9,2],[9,7],[9,12],[10,1],[10,4],[10,10],[10,13],[11,3],[11,6],[11,8],[11,11],[12,0],[12,7],[12,14],[13,2],[13,5],[13,9],[13,12],[14,2],[14,5],[14,9],[14,12]]";true
11111111-1111-1111-1111-111111111104;Spectator Diagonal;15;15;"[[0,5],[0,10],[1,3],[1,7],[1,11],[2,1],[2,5],[2,9],[2,13],[3,3],[3,7],[3,11],[4,0],[4,4],[4,8],[4,12],[5,2],[5,6],[5,10],[5,14],[6,4],[6,8],[6,12],[7,1],[7,4],[7,6],[7,8],[7,10],[7,13],[8,2],[8,6],[8,10],[9,0],[9,4],[9,8],[9,12],[10,2],[10,6],[10,10],[10,14],[11,3],[11,7],[11,11],[12,1],[12,5],[12,9],[12,13],[13,3],[13,7],[13,11],[14,4],[14,9]]";true
11111111-1111-1111-1111-111111111105;Independent Blocked;15;15;"[[0,4],[0,8],[0,12],[1,0],[1,4],[1,8],[1,12],[2,3],[2,6],[2,9],[2,12],[3,1],[3,5],[3,9],[3,13],[4,0],[4,3],[4,7],[4,11],[5,2],[5,6],[5,10],[5,14],[6,1],[6,5],[6,9],[6,13],[7,3],[7,7],[7,11],[8,1],[8,5],[8,9],[8,13],[9,0],[9,4],[9,8],[9,12],[10,3],[10,7],[10,11],[10,14],[11,1],[11,5],[11,9],[11,13],[12,2],[12,5],[12,8],[12,11],[13,2],[13,6],[13,10],[13,14],[14,2],[14,6],[14,10]]";true
11111111-1111-1111-1111-111111111106;Azed Traditional;15;15;"[[0,3],[0,7],[0,11],[1,1],[1,5],[1,9],[1,13],[2,3],[2,7],[2,11],[3,0],[3,5],[3,9],[3,14],[4,2],[4,6],[4,10],[5,1],[5,5],[5,9],[5,13],[6,3],[6,7],[6,11],[7,0],[7,4],[7,6],[7,8],[7,10],[7,14],[8,3],[8,7],[8,11],[9,1],[9,5],[9,9],[9,13],[10,4],[10,8],[10,12],[11,0],[11,5],[11,9],[11,14],[12,3],[12,7],[12,11],[13,1],[13,5],[13,9],[13,13],[14,3],[14,7],[14,11]]";true
11111111-1111-1111-1111-111111111107;Financial Times;15;15;"[[0,6],[0,9],[1,3],[1,6],[1,9],[1,12],[2,0],[2,4],[2,10],[2,14],[3,2],[3,6],[3,8],[3,12],[4,1],[4,5],[4,9],[4,13],[5,3],[5,7],[5,11],[6,0],[6,4],[6,8],[6,12],[7,1],[7,2],[7,5],[7,6],[7,8],[7,9],[7,12],[7,13],[8,2],[8,6],[8,10],[8,14],[9,3],[9,7],[9,11],[10,1],[10,5],[10,9],[10,13],[11,2],[11,6],[11,8],[11,12],[12,0],[12,4],[12,10],[12,14],[13,2],[13,5],[13,8],[13,11],[14,5],[14,8]]";true
11111111-1111-1111-1111-111111111108;Sunday Times;15;15;"[[0,4],[0,6],[0,10],[1,2],[1,8],[1,12],[2,0],[2,5],[2,9],[2,14],[3,3],[3,6],[3,11],[4,1],[4,7],[4,10],[4,13],[5,4],[5,8],[5,12],[6,0],[6,3],[6,7],[6,11],[7,0],[7,5],[7,9],[7,14],[8,3],[8,7],[8,11],[8,14],[9,2],[9,6],[9,10],[10,1],[10,4],[10,7],[10,13],[11,3],[11,8],[11,11],[12,0],[12,5],[12,9],[12,14],[13,2],[13,6],[13,12],[14,4],[14,8],[14,10]]";true
11111111-1111-1111-1111-111111111109;Listener Open;15;15;"[[0,5],[0,11],[1,2],[1,8],[2,0],[2,4],[2,10],[3,6],[3,12],[4,1],[4,3],[4,9],[4,13],[5,5],[5,7],[5,11],[6,0],[6,4],[6,8],[7,0],[7,2],[7,4],[7,6],[7,8],[7,10],[7,12],[7,14],[8,6],[8,10],[8,14],[9,3],[9,7],[9,9],[10,1],[10,5],[10,11],[10,13],[11,2],[11,8],[12,4],[12,10],[12,14],[13,6],[13,12],[14,3],[14,9]]";true
11111111-1111-1111-1111-111111111110;EV Barred Style;15;15;"[[0,2],[0,8],[0,13],[1,4],[1,10],[2,1],[2,6],[2,11],[3,3],[3,8],[3,13],[4,0],[4,5],[4,10],[5,2],[5,7],[5,12],[6,4],[6,9],[6,14],[7,1],[7,3],[7,6],[7,8],[7,11],[7,13],[8,0],[8,5],[8,10],[9,2],[9,7],[9,12],[10,4],[10,9],[10,14],[11,1],[11,6],[11,11],[12,3],[12,8],[12,13],[13,4],[13,10],[14,1],[14,6],[14,12]]";true
