ID;verb;shelf;sortOrder;title;url;description;badge;isExternal;isActive
66333900-0001-0001-0001-000000000001;LEARN;START_HERE;10;Tutorial Navigator;/tutorial-navigator/;Browse and filter 1 400+ hands-on tutorials across all SAP topics;;false;true
66333900-0001-0001-0001-000000000002;LEARN;START_HERE;20;SAP Learning Journeys;https://learning.sap.com/learning-journeys;Curated multi-course paths toward certifications and role mastery;;true;true
66333900-0001-0001-0001-000000000003;LEARN;START_HERE;30;New to Cloud SAP?;/missions/;Guided mission paths for developers moving from on-prem to cloud and AI;;false;true
66333900-0001-0001-0001-000000000004;LEARN;REFERENCE;40;learning.sap.com;https://learning.sap.com;Free and paid learning journeys, self-paced courses, and certification prep;;true;true
66333900-0001-0001-0001-000000000005;LEARN;REFERENCE;50;SAP Help Portal;https://help.sap.com;Centralized product documentation for all SAP products;;true;true
66333900-0001-0001-0001-000000000006;LEARN;REFERENCE;60;Certifications;https://www.sap.com/training-certification.html;Official SAP certification paths and instructor-led training;;true;true
66333900-0001-0001-0001-000000000007;LEARN;TOOLS;70;BTP Free Tier Signup;https://cockpit.btp.cloud.sap;Start building on SAP BTP with a free tier account — no credit card required;;true;true
66333900-0001-0001-0001-000000000008;LEARN;TOOLS;80;SAP-samples on GitHub;https://github.com/SAP-samples;Hundreds of sample apps, tutorials, and workshop repos from SAP;;true;true
66333900-0001-0001-0001-000000000009;LEARN;KEEP_CURRENT;90;SAP Developer News;https://youtube.com/@sapdevs;Weekly Friday show covering the latest developer news, tutorials, and events;;true;true
66333900-0001-0002-0001-000000000001;BUILD;START_HERE;10;SAP CAP;https://cap.cloud.sap;Official docs for the Cloud Application Programming Model — Node.js + Java;;true;true
66333900-0001-0002-0001-000000000002;BUILD;START_HERE;20;ABAP Cloud + RAP;https://help.sap.com/docs/abap-cloud;Clean-core ABAP development with RAP, ADT, and the BTP ABAP environment;;true;true
66333900-0001-0002-0001-000000000003;BUILD;START_HERE;30;Fiori / UI5;https://ui5.sap.com;SAP UI5 Demo Kit — API reference, samples, and interactive demos;;true;true
66333900-0001-0002-0001-000000000004;BUILD;START_HERE;40;SAP Build;https://www.sap.com/products/technology-platform/build.html;Low-code app, automation, and website suite on BTP for faster delivery;;true;true
