ID;fromPath;toPath;statusCode;isPattern;isActive
66333900-1eaa-0001-0001-000000000001;/tutorial-navigator.html;/tutorial-navigator/;301;false;true
66333900-1eaa-0001-0001-000000000002;/index.html;/;301;false;true
66333900-1eaa-0001-0001-000000000003;/groups.html;/missions/;301;false;true
66333900-1eaa-0001-0001-000000000004;/leonardo-iot;https://community.sap.com/topics/leonardo;301;false;true
66333900-1eaa-0001-0001-000000000005;/topics/leonardo-iot.html;https://community.sap.com/topics/leonardo;301;false;true
66333900-1eaa-0001-0001-000000000006;/open-source;https://opensource.sap.com/;301;false;true
66333900-1eaa-0001-0001-000000000007;^/open-source..html$;https://www.sap.com/about/company/innovation/open-source.html;301;true;true
66333900-1eaa-0001-0001-000000000008;^/devtoberfest..html$;https://community.sap.com/t5/devtoberfest/gh-p/Devtoberfest;301;true;true
66333900-1eaa-0001-0001-000000000009;/topics/s4hana-cloud-sdk.html;https://community.sap.com/topics/cloud-sdk;301;false;true
66333900-1eaa-0001-0001-000000000010;^/(africa|australia|austria|belgie|belgique|brazil|bulgaria|canada|canada-fr|china|central-asia-caucasus|croatia|cz|denmark|estonia|finland|france|germany|greece|hk|hungary|india|israel|italy|japan|korea|latinamerica|latvia|lithuania|mena|mena-ar|netherlands|norway|poland|portugal|romania|sea|sk|slovenia|spain|sweden|suisse|swiss|taiwan|turkey|uk|ukraine|westbalkans)/topics/s4hana-cloud-sdk.html$;https://community.sap.com/topics/cloud-sdk;301;true;true
66333900-1eaa-0001-0001-000000000011;^/(africa|australia|austria|belgie|belgique|brazil|bulgaria|canada|canada-fr|china|central-asia-caucasus|croatia|cz|denmark|estonia|finland|france|germany|greece|hk|hungary|india|israel|italy|japan|korea|latinamerica|latvia|lithuania|mena|mena-ar|netherlands|norway|poland|portugal|romania|sea|sk|slovenia|spain|sweden|suisse|swiss|taiwan|turkey|uk|ukraine|westbalkans)/topics/s4hana-cloud-sdk\.(.*).html$;https://community.sap.com/topics/cloud-sdk#$2;301;true;true
66333900-1eaa-0001-0001-000000000012;/trials-downloads.html;https://www.sap.com/products/try-sap/trials-downloads.html;301;false;true
66333900-1eaa-0001-0001-000000000013;/topics/cloud-platform.html;https://pages.community.sap.com/topics/business-technology-platform;301;false;true
66333900-1eaa-0001-0001-000000000014;/mobile;https://help.sap.com/doc/f53c64b93e5140918d676b927a3cd65b/Cloud/en-US/docs-en/index.html;301;false;true
66333900-1eaa-0001-0001-000000000015;^/(de|es|zh)$;/;301;true;true
66333900-1eaa-0001-0001-000000000016;^/(de|es|zh)/(.*)$;/$2;301;true;true
66333900-1eaa-0001-0001-000000000017;/cloud-sdk;/topics/cloud-sdk.html;301;false;true
66333900-1eaa-0001-0001-000000000018;/abap;/topics/abap-platform.html;301;false;true
66333900-1eaa-0001-0001-000000000019;/abapxml;/topics/abap-platform.html;301;false;true
66333900-1eaa-0001-0001-000000000020;/datahub;/group.datahub-docker.html;301;false;true
66333900-1eaa-0001-0001-000000000021;/tutorials/ml-fs-sapui5-series-changepoint-detection.html;/group.ml-fs-api-hub.html;301;false;true
66333900-1eaa-0001-0001-000000000022;/tutorials/ml-fs-java-series-changepoint-detection.html;/group.ml-fs-api-hub.html;301;false;true
66333900-1eaa-0001-0001-000000000023;/group.ml-fs-java.html;/group.ml-fs-api-hub.html;301;false;true
66333900-1eaa-0001-0001-000000000024;/group.ml-fs-sapui5.html;/group.ml-fs-api-hub.html;301;false;true
66333900-1eaa-0001-0001-000000000025;/ml;/topics/machine-learning.html;301;false;true
66333900-1eaa-0001-0001-000000000026;/api;/topics/api.html;301;false;true
66333900-1eaa-0001-0001-000000000027;/cloud;/topics/cloud-platform.html;301;false;true
66333900-1eaa-0001-0001-000000000028;/hanaexpress;/products/hana/express-trial.html;301;false;true
66333900-1eaa-0001-0001-000000000029;/hana-express;/products/hana/express-trial.html;301;false;true
66333900-1eaa-0001-0001-000000000030;/hana;/topics/hana.html;301;false;true
66333900-1eaa-0001-0001-000000000031;/sapui5;/topics/ui5.html;301;false;true
66333900-1eaa-0001-0001-000000000032;/ios-sdk;/topics/cloud-platform-sdk-for-ios.html;301;false;true
66333900-1eaa-0001-0001-000000000033;/webide;/topics/sap-webide.html;301;false;true
